Month & Year,Wagon Placement,Opening Balance,Available Warehouse capacity,Available Manpower,Demurrage Hours,Number of wagons placed,Day of Arrival,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Working/Non-working (Yes/No),Working,Arrival time of wagons
April_16,1,27717.799,2282.201,38,17,28,Wed,0,0,0,1,0,0,0,Yes,1,9
,2,27004.05,2995.95,38,2,21,Thu,0,0,0,0,1,0,0,Yes,1,6
,3,26989.405,3010.595,38,23,30,Wed,0,0,0,1,0,0,0,Yes,1,6
May_16,4,27015.514,2984.486,38,14,21,Thu,0,0,0,0,1,0,0,Yes,1,14.25
,5,27121.35,2878.65,38,21,29,Fri,0,0,0,0,0,1,0,Yes,1,6
Aug_16,6,19723.207,10276.793,38,75,21,Mon,0,1,0,0,0,0,0,Yes,1,18.25
Sep_16,7,17134.543,12865.457,38,42,21,Thu,0,0,0,0,1,0,0,Yes,1,9
Oct_16,8,17124.951,12875.049,38,46,21,Wed,0,0,0,1,0,0,0,Yes,1,6.25
Mar_17,9,4280.707,25719.293,38,30,21,Fri,0,0,0,0,0,1,0,Yes,1,6
Apr_17,10,5393.149,24606.851,38,8,21,Sun,1,0,0,0,0,0,0,No,0,7.25
,11,5393.149,24606.851,38,8,29,Fri,0,0,0,0,0,1,0,Yes,1,7.666666667
,12,8352.648,21647.352,38,7,29,Thu,0,0,0,0,1,0,0,Yes,1,16.75
,13,9003.962,20996.038,38,8,29,Tue,0,0,1,0,0,0,0,Yes,1,20.25
,14,9003.962,20996.038,38,3,21,Fri,0,0,0,0,0,1,0,Yes,1,6
,15,9003.962,20996.038,38,15,28,Sat,0,0,0,0,0,0,1,No,0,11.66666667
,16,13301.347,16698.653,38,3,21,Tue,0,0,1,0,0,0,0,Yes,1,6
,17,13301.347,16698.653,38,2,21,Fri,0,0,0,0,0,1,0,Yes,1,6
,18,13301.347,16698.653,38,7,29,Sat,0,0,0,0,0,0,1,No,0,6.333333333
May_17,19,16421.238,13578.762,38,5,29,Thu,0,0,0,0,1,0,0,Yes,1,7
,20,16421.238,13578.762,38,8,29,Fri,0,0,0,0,0,1,0,Yes,1,6
,21,19280.473,10719.527,38,8,29,Tue,0,0,1,0,0,0,0,Yes,1,7.5
,22,19280.473,10719.527,38,20,20,Wed,0,0,0,1,0,0,0,Yes,1,15.75
,23,19280.473,10719.527,38,9,28,Fri,0,0,0,0,0,1,0,Yes,1,6
,24,19280.473,10719.527,38,12,29,Sun,1,0,0,0,0,0,0,No,0,17.5
,25,19280.473,10719.527,38,19,29,Sat,0,0,0,0,0,0,1,No,0,12.83333333
Jun_17,26,25346.876,4653.124,38,4,27,Fri,0,0,0,0,0,1,0,Yes,1,6
,27,25346.876,4653.124,38,3,21,Tue,0,0,1,0,0,0,0,Yes,1,16.41666667
,28,25346.876,4653.124,38,15,21,Wed,0,0,0,1,0,0,0,Yes,1,13.41666667
July_17,29,27342.562,2657.438,38,6,20,Thu,0,0,0,0,1,0,0,Yes,1,6
,30,27019.625,2980.375,38,6,29,Mon,0,1,0,0,0,0,0,Yes,1,6
Aug_17,31,27405.835,2594.165,38,14,21,Tue,0,0,1,0,0,0,0,Yes,1,11
,32,27831.984,2168.016,38,1,21,Wed,0,0,0,1,0,0,0,Yes,1,6
,33,27114.871,2885.129,38,4,21,Wed,0,0,0,1,0,0,0,Yes,1,18
Sep_17,34,27805.2,2194.8,38,0,21,Sun,1,0,0,0,0,0,0,No,0,6
,35,28356.969,1643.031,38,0,21,Sat,0,0,0,0,0,0,1,No,0,6
Oct_17,36,25882.606,4117.394,38,3,29,Mon,0,1,0,0,0,0,0,Yes,1,6
Nov_17,37,26855.924,3144.076,38,2,29,Thu,0,0,0,0,1,0,0,Yes,1,6
,38,26855.924,3144.076,38,2,21,Sun,1,0,0,0,0,0,0,No,0,13.5
Dec_17,39,26589.824,3410.176,38,2,21,Sun,1,0,0,0,0,0,0,No,0,10.75
,40,25529.726,4470.274,38,0,21,Thu,0,0,0,0,1,0,0,Yes,1,11
