Month & Year,Wagon Placement,Opening Balance,Available Warehouse capacity,Available Manpower,Demurrage Hours,Number of wagons placed,Day of Arrival,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Working/Non-working (Yes/No),Working,Arrival time of wagons
April_16,1,5063.019,6836.981,37,23,29,Thu,0,0,0,0,1,0,0,Yes,1,6
,2,4378.545,7521.455,37,20,21,Thu,0,0,0,0,1,0,0,Yes,1,8
,3,4876.337,7023.663,37,22,29,Tue,0,0,1,0,0,0,0,Yes,1,6
,4,4876.337,7023.663,37,0,21,Sat,0,0,0,0,0,0,1,No,0,8
May_16,5,4588.024,7311.976,37,21,21,Tue,0,0,1,0,0,0,0,Yes,1,6
,6,4588.024,7311.976,37,18,21,Wed,0,0,0,1,0,0,0,Yes,1,14
,7,4588.024,7311.976,37,26,28,Fri,0,0,0,0,0,1,0,Yes,1,6
,8,6832.938,5067.062,37,25,29,Thu,0,0,0,0,1,0,0,Yes,1,6
,9,6856.719,5043.281,37,21,29,Fri,0,0,0,0,0,1,0,Yes,1,8
,10,6856.719,5043.281,37,24,29,Mon,0,1,0,0,0,0,0,Yes,1,6
,11,7192.261,4707.739,37,27,21,Fri,0,0,0,0,0,1,0,Yes,1,6
Jun_16,12,6766.874,5133.126,37,21,21,Thu,0,0,0,0,1,0,0,Yes,1,7.45
,13,6766.874,5133.126,37,47,29,Sat,0,0,0,0,0,0,1,No,0,6
,14,8417.5,3482.5,37,26,21,Sun,1,0,0,0,0,0,0,No,0,6.35
July_16,15,894.186,11005.814,37,7,21,Mon,0,1,0,0,0,0,0,Yes,1,16.45
Aug_16,16,108.139,11791.861,37,0,21,Mon,0,1,0,0,0,0,0,Yes,1,12
,17,108.139,11791.861,37,3,21,Tue,0,0,1,0,0,0,0,Yes,1,6
,18,108.139,11791.861,37,26,21,Sun,1,0,0,0,0,0,0,No,0,6
Sep_16,19,104.491,11795.509,37,2,21,Thu,0,0,0,0,1,0,0,Yes,1,6.3
,20,104.491,11795.509,37,25,21,Fri,0,0,0,0,0,1,0,Yes,1,6.3
,21,104.491,11795.509,37,5,21,Tue,0,0,1,0,0,0,0,Yes,1,16.83333333
,22,101.465,11798.535,37,3,21,Fri,0,0,0,0,0,1,0,Yes,1,6
,23,101.465,11798.535,37,1,21,Thu,0,0,0,0,1,0,0,Yes,1,8
,24,101.465,11798.535,37,4,29,Tue,0,0,1,0,0,0,0,Yes,1,6
,25,101.465,11798.535,37,5,29,Fri,0,0,0,0,0,1,0,Yes,1,6
Oct_16,26,101.465,11798.535,37,47,29,Sun,1,0,0,0,0,0,0,No,0,6
,27,91.146,11808.854,37,24,21,Thu,0,0,0,0,1,0,0,Yes,1,9.2
,28,91.146,11808.854,37,25,29,Thu,0,0,0,0,1,0,0,Yes,1,7.55
,29,91.146,11808.854,37,40,21,Sat,0,0,0,0,0,0,1,No,0,14
Nov_16,30,8656.571,3243.429,37,5,16,Sat,0,0,0,0,0,0,1,No,0,6
,31,0.287,11899.713,37,49,21,Sun,1,0,0,0,0,0,0,No,0,6
,32,0.287,11899.713,37,6,4,Tue,0,0,1,0,0,0,0,Yes,1,17.25
,33,1116.121,10783.879,37,51,29,Thu,0,0,0,0,1,0,0,Yes,1,6
Dec_16,34,2211.307,9688.693,37,24,21,Fri,0,0,0,0,0,1,0,Yes,1,6
,35,2269.407,9630.593,37,28,28,Sat,0,0,0,0,0,0,1,No,0,6
,36,615.757,11284.243,37,4,21,Fri,0,0,0,0,0,1,0,Yes,1,6
Jan_17,37,2.085,11897.915,37,8,29,Tue,0,0,1,0,0,0,0,Yes,1,18.5
,38,943.282,10956.718,37,37,41,Wed,0,0,0,1,0,0,0,Yes,1,6
,39,943.282,10956.718,37,4,29,Sat,0,0,0,0,0,0,1,No,0,6
Feb_17,40,3534.871,8365.129,37,40,42,Sat,0,0,0,0,0,0,1,No,0,12.25
,41,4049.811,7850.189,37,4,28,Sat,0,0,0,0,0,0,1,No,0,6
,42,4049.811,7850.189,37,27,21,Sun,1,0,0,0,0,0,0,No,0,6
,43,4049.811,7850.189,37,18,41,Tue,0,0,1,0,0,0,0,Yes,1,9
,44,4312.511,7587.489,37,19,58,Tue,0,0,1,0,0,0,0,Yes,1,6
,45,5741.048,6158.952,37,38,42,Sun,1,0,0,0,0,0,0,No,0,10.75
Mar_17,46,6274.876,5625.124,37,7,29,Tue,0,0,1,0,0,0,0,Yes,1,6.5
,47,6274.876,5625.124,37,4,21,Wed,0,0,0,1,0,0,0,Yes,1,6
,48,7157.146,4742.854,37,3,21,Fri,0,0,0,0,0,1,0,Yes,1,6
,49,7157.146,4742.854,37,3,21,Sat,0,0,0,0,0,0,1,No,0,6
,50,7157.146,4742.854,37,3,21,Mon,0,1,0,0,0,0,0,Yes,1,6
,51,7157.146,4742.854,37,6,21,Tue,0,0,1,0,0,0,0,Yes,1,6
,52,8896.393,3003.607,37,15,21,Tue,0,0,1,0,0,0,0,Yes,1,15
Apr_17,53,7628.614,4271.386,37,31,21,Sat,0,0,0,0,0,0,1,No,0,15.75
,54,7008.411,4891.589,37,5,29,Thu,0,0,0,0,1,0,0,Yes,1,6
,55,7008.411,4891.589,37,4,29,Sat,0,0,0,0,0,0,1,No,0,6
,56,8802.923,3097.077,37,3,21,Tue,0,0,1,0,0,0,0,Yes,1,6
,57,8802.923,3097.077,37,2,21,Fri,0,0,0,0,0,1,0,Yes,1,7.833333333
May_17,58,9019.514,2880.486,37,5,29,Fri,0,0,0,0,0,1,0,Yes,1,6
,59,9972.85,1927.15,37,4,29,Fri,0,0,0,0,0,1,0,Yes,1,8.833333333
,60,9664.523,2235.477,37,4,28,Sat,0,0,0,0,0,0,1,No,0,6
Jun_17,61,9195.402,2704.598,37,7,29,Sat,0,0,0,0,0,0,1,No,0,6
,62,9867.667,2032.333,37,6,28,Fri,0,0,0,0,0,1,0,Yes,1,6
,63,8774.797,3125.203,37,4,27,Fri,0,0,0,0,0,1,0,Yes,1,6
,64,8896.204,3003.796,37,57,29,Sat,0,0,0,0,0,0,1,No,0,17
,65,8896.204,3003.796,37,19,21,Wed,0,0,0,1,0,0,0,Yes,1,12.75
Jul_17,66,10159.136,1740.864,37,4,21,Sat,0,0,0,0,0,0,1,No,0,6
,67,9310.192,2589.808,37,2,21,Thu,0,0,0,0,1,0,0,Yes,1,6
,68,9310.192,2589.808,37,0,21,Fri,0,0,0,0,0,1,0,Yes,1,11.75
Aug_17,69,9763.111,2136.889,37,2,21,Sat,0,0,0,0,0,0,1,No,0,6
,70,10401.308,1498.692,37,3,29,Fri,0,0,0,0,0,1,0,Yes,1,6
,71,9923.492,1976.508,37,1,29,Tue,0,0,1,0,0,0,0,Yes,1,9.5
Sep_17,72,10510.691,1389.309,37,17,21,Fri,0,0,0,0,0,1,0,Yes,1,15.16666667
,73,8125.876,3774.124,37,3,28,Tue,0,0,1,0,0,0,0,Yes,1,12.83333333
Oct_17,74,8805.676,3094.324,37,4,29,Wed,0,0,0,1,0,0,0,Yes,1,6
,75,6816.363,5083.637,37,1,21,Wed,0,0,0,1,0,0,0,Yes,1,6
,76,6816.363,5083.637,37,3,29,Tue,0,0,1,0,0,0,0,Yes,1,6.333333333
Nov_17,77,6725.044,5174.956,37,0,21,Wed,0,0,0,1,0,0,0,Yes,1,8.333333333
,78,6725.044,5174.956,37,0,20,Thu,0,0,0,0,1,0,0,Yes,1,14.5
,79,6725.044,5174.956,37,1,21,Tue,0,0,1,0,0,0,0,Yes,1,6.833333333
,80,8656.571,3243.429,37,2,29,Fri,0,0,0,0,0,1,0,Yes,1,8.333333333
,81,8656.571,3243.429,37,7,21,Sun,1,0,0,0,0,0,0,No,0,17.41666667
,82,10335.382,1564.618,37,2,20,Sat,0,0,0,0,0,0,1,No,0,6
,83,9415.226,2484.774,37,1,21,Fri,0,0,0,0,0,1,0,Yes,1,8
Dec_17,84,8694.471,3205.529,37,3,21,Sat,0,0,0,0,0,0,1,No,0,6
,85,8559.835,3340.165,37,6,28,Sun,1,0,0,0,0,0,0,No,0,20.33333333
,86,9426.557,2473.443,37,1,23,Tue,0,0,1,0,0,0,0,Yes,1,6
,87,9426.557,2473.443,37,3,29,Thu,0,0,0,0,1,0,0,Yes,1,6
,88,7824.467,4075.533,37,0,21,Sat,0,0,0,0,0,0,1,No,0,6
,89,7824.467,4075.533,37,6,21,Thu,0,0,0,0,1,0,0,Yes,1,15.83333333
