Month & Year,Wagon Placement,Opening Balance,Available Warehouse capacity,Available Manpower,Demurrage Hours,Number of wagons placed,Day of Arrival,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Working/Non-working (Yes/No),Working,Arrival time of wagons
April_16,1,17847.285,2152.715,58,9,29,Wed,0,0,0,1,0,0,0,Yes,1,17.16666667
,2,17361.084,2638.916,58,19,29,Tue,0,0,1,0,0,0,0,Yes,1,6
May_16,3,15926.776,4073.224,58,18,29,Fri,0,0,0,0,0,1,0,Yes,1,6
,4,16495.964,3504.036,58,0,21,Tue,0,0,1,0,0,0,0,Yes,1,6
,5,16495.964,3504.036,58,0,21,Mon,0,1,0,0,0,0,0,Yes,1,6
Jun_16,6,17527.048,2472.952,58,4,21,Wed,0,0,0,1,0,0,0,Yes,1,6
July_16,7,14800.485,5199.515,58,8,21,Sun,1,0,0,0,0,0,0,No,0,15.66666667
,8,14800.485,5199.515,58,13,29,Wed,0,0,0,1,0,0,0,Yes,1,15
,9,16302.671,3697.329,58,19,29,Mon,0,1,0,0,0,0,0,Yes,1,6
,10,16193.016,3806.984,58,2,20,Wed,0,0,0,1,0,0,0,Yes,1,6
Aug_16,11,16954.341,3045.659,58,18,29,Wed,0,0,0,1,0,0,0,Yes,1,6
,12,16650.564,3349.436,58,3,20,Sun,1,0,0,0,0,0,0,No,0,6
Sep_16,13,15092.107,4907.893,58,21,21,Wed,0,0,0,1,0,0,0,Yes,1,6
,14,16021.544,3978.456,58,21,21,Sat,0,0,0,0,0,0,1,No,0,11
,15,17696.488,2303.512,58,23,21,Tue,0,0,1,0,0,0,0,Yes,1,6
,16,17447.189,2552.811,58,19,21,Tue,0,0,1,0,0,0,0,Yes,1,6.333333333
Oct_16,17,16116.292,3883.708,58,23,28,Mon,0,1,0,0,0,0,0,Yes,1,7
,18,17621.692,2378.308,58,23,21,Sat,0,0,0,0,0,0,1,No,0,6
,19,17621.692,2378.308,58,26,21,Tue,0,0,1,0,0,0,0,Yes,1,6
Dec_16,20,13261.93,6738.07,58,42,29,Fri,0,0,0,0,0,1,0,Yes,1,6
,21,13261.93,6738.07,58,68,28,Sat,0,0,0,0,0,0,1,No,0,6
